m1_cap,m2_cap,m1_prof,m2_prof,dem,prod_sim,obj_govt,m1_infl,m2_infl,m1_pub_price,m2_pub_price,m1_priv_price,m2_priv_price,m1_pub_quant,m2_pub_quant,m1_priv_quant,m2_priv_quant,govt_cost
3250000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3275000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3300000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3325000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3350000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3375000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3400000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3425000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3450000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3475000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3500000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3525000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3550000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
